ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240310,다사55254475,0,다사56254525,2,13,13,1,3,277,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,126.9951234,37.50206396,127.0064071,37.50661843
20240327,다사46004875,0,다사45504800,1,13,13,1,7,277,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8901828,37.53762284,126.8845791,37.53083366
20240321,다바48508650,0,다바48008725,2,10,10,1,3,274,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,126.9227766,36.97667051,126.9171075,36.98340356
20240320,다사47005275,2,다사46005275,0,13,15,1,7,273,2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,126.9012129,37.5737331,126.8898889,37.57367512
20240323,다사67504825,2,다사67504750,1,11,11,1,1,272,132,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1335597,37.53412208,127.1335927,37.527362
20240329,다사48504125,2,다사48254225,1,12,12,1,7,262,72,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9190033,37.47016661,126.916106,37.47916591
20240326,다사26254700,2,다사25754775,1,7,8,1,1,261,28,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6668245,37.52048473,126.6610911,37.52720418
20240302,다사50255650,0,다사49755700,0,15,15,1,7,259,115,0,0,0,0,0,0,0,0,0,2.71,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9377619,37.60771314,126.932063,37.61219254
20240328,다사51502750,1,다사51002825,0,19,19,1,7,256,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9538291,37.34639436,126.9481347,37.35312827
20240330,다사31004425,0,다사30754350,2,7,8,1,3,256,277,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7208307,37.49606643,126.7180732,37.48928812
